drug,module,model,f1,balanced_accuracy,auprc
AUG,sample_graph_only,RF_balanced,0.8943440748750604,0.9497493068319495,0.9175347632251757
AXO,accessory200_plus_functional_like,LR_balanced,0.9567876459153805,0.98612514578268,0.9862793673274022
AXO,accessory200_plus_functional_like,RF_balanced,0.9622352800387654,0.9822823143371089,0.9834304662402726
AXO,accessory200_plus_gene_graph_embedding,LR_balanced,0.9633418076039508,0.9843537132578228,0.9852861868563838
AXO,accessory200_plus_gene_graph_embedding,RF_balanced,0.9314737735245707,0.9713965486568227,0.9819257199422932
AXO,accessory200_plus_sample_graph,LR_balanced,0.9610418191786378,0.9842015062563008,0.9851941245092285
AXO,accessory200_plus_sample_graph,RF_balanced,0.9375760662935302,0.9759983395599835,0.9821044914058944
AXO,accessory_chi2_200,LR_balanced,0.9567876459153805,0.98612514578268,0.9862793673274022
AXO,accessory_chi2_200,RF_balanced,0.9599413732287296,0.9800600921148866,0.9829348235387475
AXO,accessory_chi2_500,LR_balanced,0.9189812773227679,0.9572637332226374,0.9694578915557
AXO,accessory_chi2_500,RF_balanced,0.9184884730903334,0.9617226076815119,0.9781405120064017
AXO,ensemble_top_50,LR_balanced,0.9668170120435601,0.9846553598608393,0.9855537446220676
AXO,ensemble_top_50,RF_balanced,0.966848871860366,0.9848147818695764,0.9843196424235664
AXO,ensemble_top_500,LR_balanced,0.923270919776667,0.9641014845124435,0.9771264866220887
AXO,ensemble_top_500,RF_balanced,0.923820048173033,0.9644144972227164,0.9785429127604021
AXO,gene_graph_embedding_only,LR_balanced,0.8846879013025494,0.9677477317203345,0.935025510259259
AXO,gene_graph_embedding_only,RF_balanced,0.8975162388307429,0.9535070865207852,0.9723115333197031
AXO,paper_ready50,LR_balanced,0.9418639247087522,0.9785314989424578,0.9939448908218258
AXO,paper_ready50,RF_balanced,0.9552293712892527,0.9773682025736821,0.9943332461189605
AXO,paper_ready50_plus_chi2_200,LR_balanced,0.9590317717616569,0.9819772084840578,0.9931564462805208
AXO,paper_ready50_plus_chi2_200,RF_balanced,0.9599364294640528,0.9821301073355868,0.9923389911520163
AXO,paper_ready50_plus_chi2_500,LR_balanced,0.9437533773165957,0.9678516080570875,0.9823591518478736
AXO,paper_ready50_plus_chi2_500,RF_balanced,0.9368142066532871,0.9630897032951827,0.986634579050007
AXO,sample_graph_only,LR_balanced,0.8674367031262492,0.9555385558125284,0.9523498908797694
AXO,sample_graph_only,RF_balanced,0.8836484132190473,0.9286981359584099,0.9605626801435093
CHL,accessory200_plus_functional_like,LR_balanced,0.8724611836903419,0.915388940007361,0.89477303801843
CHL,accessory200_plus_functional_like,RF_balanced,0.863785035891563,0.9051976751318856,0.8692397708916074
CHL,accessory200_plus_gene_graph_embedding,LR_balanced,0.8732576801472852,0.9133097165991904,0.8927527704975342
CHL,accessory200_plus_gene_graph_embedding,RF_balanced,0.8542530038193215,0.8918115261931052,0.8701535739195086
CHL,accessory200_plus_sample_graph,LR_balanced,0.8631289666917751,0.9053033063427801,0.8888193130037535
CHL,accessory200_plus_sample_graph,RF_balanced,0.8645100055784283,0.9118712427922955,0.8674160894755459
CHL,accessory_chi2_200,LR_balanced,0.8724611836903419,0.915388940007361,0.89477303801843
CHL,accessory_chi2_200,RF_balanced,0.8562347047345721,0.9008771623113728,0.8692000507520058
CHL,accessory_chi2_500,LR_balanced,0.8612548645417004,0.905087657956079,0.8855899080180102
CHL,accessory_chi2_500,RF_balanced,0.8495185129530785,0.8902017850570482,0.8663102965975118
CHL,ensemble_top_50,LR_balanced,0.867044115861757,0.905882039013618,0.8883949459607758
CHL,ensemble_top_50,RF_balanced,0.8427378840273683,0.8872207397865293,0.8444997125454001
CHL,ensemble_top_500,LR_balanced,0.851416746968718,0.8960702367807631,0.8836923417573007
CHL,ensemble_top_500,RF_balanced,0.832387044824997,0.8910579070052755,0.8846809135828954
CHL,gene_graph_embedding_only,LR_balanced,0.82536669546983,0.8925420193841247,0.8658861905634541
CHL,gene_graph_embedding_only,RF_balanced,0.8412071150174296,0.884705618942461,0.8625157817107344
CHL,paper_ready50,LR_balanced,0.8909501616153683,0.9201297386823702,0.9067934919275993
